,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
54,92,-0.09,0,0,-0.09,0,0,0,0,356.250401,146.0722459,292.1444918,292.1444918,0,0,0,146.0722459,0,0,20.25598522,383.2305526,1,[Rh(C2H4)2Cl]2,21.69069928,13.86399135,0,0,Lam,175.2785624,OB(C1=CC=C(C=CC=C2)C2=C1)O,3,L3.2,2.5,5.5,dioxane/H2O,O=C(N1C2CCCCC2)C=CC1=O,50,3,93
55,0.5,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,21.5742147,0,0,Lam,134.6239983,OB(O)C1=CC=CC=C1,2,L3.20,1.5,3.3,dioxane,O=C1C=CCC1,50,1,97
56,2,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,21.5742147,0,0,Lam,151.9199836,OB(O)C1=C(C)C=CC=C1,2,L3.20,1.5,3.3,dioxane,O=C1C=CCC1,50,1,99
57,95,0,0,0,0,-0.17,0.14,-0.27,0,290.1670653,0,0,0,0,0,117.5428691,0,21.5742147,117.5428691,76.07416785,287.0813272,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.57,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,99
58,95.5,0,0,0,0,-0.17,0.13,-0.27,0,290.1670653,0,0,0,0,0,117.5428691,0,21.5742147,117.5428691,76.07416785,287.0813272,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.58,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,93
59,69.5,0,0,0,0,-0.17,-0.09,-0.27,0,254.1670653,0,0,0,0,0,94.18429025,0,21.5742147,94.18429025,76.07416785,263.7227483,0.5,[Rh(C2H4)2Cl]2,22.51198396,19.43509996,0,0,Lam,134.6239983,OB(O)c1ccccc1,2,L3.59,1,2.2,MeOH/CH2Cl2,O=C1CCCC=C1,25,20,91
60,1,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,26.22872177,0,0,Lam,134.6239983, OB(C1=CC=CC=C1)O,1.5,L3.20,3,6.6,dioxane/H2O,O=C1C=CC2(OCCO2)CC1,20,20,82
61,2,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,26.22872177,0,0,Lam,160.7102105,OB(C1=CC=C(OC)C=C1)O,1.5,L3.20,3,6.6,dioxane/H2O,O=C1C=CC2(OCCO2)CC1,20,20,80
62,1.5,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,26.22872177,0,0,Lam,140.6915573,FC1=CC=C(B(O)O)C=C1,1.5,L3.20,3,6.6,dioxane/H2O,O=C1C=CC2(OCCO2)CC1,20,20,75
63,4,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,22.51198396,18.72206172,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.20,1.5,3.3,dioxane/H2O,O=C1C=CCCCC1,50,1,95
64,1,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,20.06761165,26.22872177,0,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.5,L3.20,1.5,3.3,dioxane/H2O,O=C1C=CC2(OCCO2)C3=CC=CC=C31,20,20,98
65,0.5,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,20.06761165,26.22872177,0,0,Lam,151.9199836,CC1=C(B(O)O)C=CC=C1,1.5,L3.20,1.5,3.3,dioxane/H2O,O=C1C=CC2(OCCO2)C3=CC=CC=C31,30,20,96
66,0.5,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,20.06761165,26.22872177,0,0,Lam,149.8350664,ClC1=CC=CC(B(O)O)=C1,1.5,L3.20,3,6.6,dioxane/H2O,O=C1C=CC2(OCCO2)C3=CC=CC=C31,20,20,95
67,0.5,-0.01,0,0,-0.01,0,0,0,0,258.1408506,76.88830503,153.7766101,153.7766101,0,0,0,76.88830503,0,0,32.69197045,258.3586561,1,[Rh(C2H4)2Cl]2,20.06761165,26.22872177,0,0,Lam,160.7102105,OB(C1=CC=C(OC)C=C1)O,1.5,L3.20,1.5,3.3,dioxane/H2O,O=C1C=CC2(OCCO2)C3=CC=CC=C31,20,20,94
