,%top,ER1,ER2,ER3,ER4,ER5,ER6,ER7,EZ,LMW,LVR1,LVR1+4,LVR1+4/3+6,LVR2,LVR3,LVR3+6,LVR4,LVR5,LVR6,LVR7,LVWhole,RS,Rh source,SStoutR1,SStoutR2,SStoutR3,SStoutR4,Type,VB,boron reagent,equivs boron reagent,ligand,mol% Rh,mol% ligand,solvent,substrate,temp,time,yield
120,15,0,0,0,0,-0.17,0,-0.27,1,296.2140155,0,0,0,0,0,146.0722459,0,21.5742147,146.0722459,76.07416785,315.610704,0.5,[Rh(C2H4)2Cl]2,20.21646842,0,18.72206172,0,Lam,234.8336777,CC1(C)OB(C2=CC=CC=C2O)OC1(C)C,2,L3.47,5,10,dioxane/H2O,ClC1=CC(C(F)(F)F)=CN=C1/C=C/CCC,80,16,73
121,7,0,0,0,0,0,0,0,1,270.1619799,180.948685,180.948685,180.948685,0,0,0,0,0,0,20.25598522,276.3129753,0.5,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.5,1.5,3.3,dioxane/H2O,CC(/C=C/CCCCC)=O,25,2,74
122,95,0,0,0,0,-0.17,0,-0.27,1,268.1827154,0,0,0,0,0,111.4802755,0,21.5742147,111.4802755,76.07416785,281.0187336,0.5,[Rh(C2H4)2Cl]2,26.97717105,0,18.72206172,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.52,1,2.2,MeOH/CH2Cl2,CC(C)(C)NC(/C=C/CCC)=O,25,1,40
123,95,0.07,0,0,-0.12,-0.17,0,-0.27,1,246.1983655,36.23374097,109.6959113,109.6959113,0,0,0,73.46217037,21.5742147,0,76.07416785,274.95614,0.5,[Rh(C2H4)2Cl]2,22.51198396,0,19.22207626,0,Lam,160.7102105,OB(C1=CC=C(OC)C=C1)O,2,L3.63,1.5,3.3,dioxane/H2O,CC(/C=C/C1=CC=CC=C1)=O,25,0.1,68
124,94.5,0.07,0,0,-0.12,-0.17,0,-0.27,1,246.1983655,36.23374097,109.6959113,109.6959113,0,0,0,73.46217037,21.5742147,0,76.07416785,274.95614,0.5,[Rh(C2H4)2Cl]2,22.51198396,0,21.5742147,0,Lam,166.5795098,OB(/C=C/C1=CC=CC=C1)O,2,L3.63,1.5,3.3,dioxane/H2O,CC(/C=C/C)=O,25,1,78
125,94,0.07,0,0,-0.12,-0.17,0,-0.27,1,246.1983655,36.23374097,109.6959113,109.6959113,0,0,0,73.46217037,21.5742147,0,76.07416785,274.95614,0.5,[Rh(C2H4)2Cl]2,17.93806496,0,21.5742147,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.63,1.5,3.3,dioxane/H2O,COC(/C=C/C)=O,25,1,93
126,4.5,-0.09,0,0,-0.12,-0.17,0,-0.27,1,310.2296656,94.18429025,167.6464606,167.6464606,0,0,0,73.46217037,21.5742147,0,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,22.51198396,0,18.15163112,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,2,L3.64,1.5,3.3,dioxane/H2O,CC(/C=C/CCCCC)=O,25,3,99
127,91.5,0,0,0.07,0,-0.17,-0.12,-0.27,1,246.1983655,0,0,0,0,36.23374097,109.6959113,0,21.5742147,73.46217037,76.07416785,274.95614,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,19.22207626,0,Lam,160.7102105,COC1=CC=C(B(O)O)C=C1,2,L3.69,1.5,3.3,dioxane/H2O,[H]C(/C=C/C1=CC=CC=C1)=O,50,1.25,50
128,96.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,17.90767349,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.5,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC=CO1)=O,50,1.25,63
129,94.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,19.22207626,0,Lam,184.1599637,O=C(OC)C1=CC=CC(B(O)O)=C1,2,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC=CC=C1)=O,50,22,70
130,95.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,19.22207626,0,Lam,170.1226604,OB(C1=CC(C(F)(F)F)=CC=C1)O,2,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC=CC=C1)=O,50,2.5,85
131,96,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,19.22207626,0,Lam,160.7102105,COC1=CC=C(B(O)O)C=C1,2,L3.70,1.5,3.3,dioxane/H2O,[H]C(/C=C/C1=CC=CC=C1)=O,50,1.25,43
132,96.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,19.22207626,0,Lam,140.6915573,FC1=CC=C(B(O)O)C=C1,1.5,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC=CC=C1)=O,50,1.25,90
133,95.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,25.7436293,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.2,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC=CC=C1OC)=O,50,4,76
134,96.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,17.16241953,0,Lam,175.3697368,CC(C1=CC=C(B(O)O)C=C1)=O,1.5,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC=C(OC)C=C1)=O,50,1.25,78
135,95.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,16.5911728,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.2,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC=C(F)C=C1)=O,50,1.25,87
136,95,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,27.7279827,0,24.11007225,0,Lam,134.6239983,OB(C1=CC=CC=C1)O,1.5,L3.70,1.5,3.3,MeOH/H2O,[H]C(/C=C/C1=CC(C)=CC=C1OCC2=CC=CC=C2)=O,50,1.25,78
137,95.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,26.42553764,0,17.90767349,0,Lam,175.3697368,CC(C1=CC=C(B(O)O)C=C1)=O,2,L3.70,1.5,3.3,MeOH/H2O,O=C(/C=C/C1=CC=CO1)OC(C)(C)C,50,14,68
138,96,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,26.42553764,0,17.90767349,0,Lam,160.7102105,COC1=CC=C(B(O)O)C=C1,2,L3.70,1.5,3.3,MeOH/H2O,O=C(/C=C/C1=CC=CO1)OC(C)(C)C,50,14,62
139,95,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,26.42553764,0,21.14727267,0,Lam,175.3697368,CC(C1=CC=C(B(O)O)C=C1)=O,1.5,L3.70,1.5,3.3,dioxane/H2O,O=C(/C=C/C1=CC=CS1)OC(C)(C)C,50,14,65
140,96.5,0,0,-0.09,0,-0.17,-0.12,-0.27,1,310.2296656,0,0,0,0,94.18429025,167.6464606,0,21.5742147,73.46217037,76.07416785,332.9066892,0.5,[Rh(C2H4)2Cl]2,26.42553764,0,17.6472701,0,Lam,175.3697368,CC(C1=CC=C(B(O)O)C=C1)=O,2,L3.70,1.5,3.3,dioxane/H2O,O=C(/C=C/C1=CN=CC=C1)OC(C)(C)C,50,14,70
